SH,LIBELLES,year,production_fcfa,production_tonnes,consommation_fcfa,consommation_tonnes,imports_fcfa,exports_fcfa,imports_tonnes,exports_tonnes,year_normalized,years_since_start,economic_period,is_covid_period,balance_commerciale_fcfa,balance_commerciale_tonnes,taux_couverture,ratio_prod_conso_fcfa,ratio_prod_imports,intensite_export,prix_unitaire_production,prix_unitaire_imports,prix_unitaire_exports,total_production_fcfa,total_production_tonnes,part_marche_production,indice_specialisation,valeur_ajoutee_estimee,demande_interieure,taux_autosuffisance,production_fcfa_lag1,production_fcfa_lag2,production_tonnes_lag1,production_tonnes_lag2,imports_fcfa_lag1,imports_fcfa_lag2,exports_fcfa_lag1,exports_fcfa_lag2,production_fcfa_growth,production_tonnes_growth,imports_fcfa_growth,exports_fcfa_growth,production_fcfa_ma3,production_tonnes_ma3,imports_fcfa_ma3,exports_fcfa_ma3,production_trend,sector_encoded,period_encoded,sector_size_category,sector_size_encoded
XIX,"Armes, munitions et leurs parties et accessoires",2014,2.2,0.4,2.2,0.4,2.2,0.0,0.4,0.0,0.0,0,pre_2017,0,-2.2,-0.4,0.0,1.0,1.0,0.0,5.5,5.5,0.0,3056.1,5761.5,0.07198717319459443,100.49291520732899,-5.5,4.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.4,2.2,0.0,-0.24484848484848487,1,3,small,2
XIX,"Armes, munitions et leurs parties et accessoires",2015,2.4,0.5,2.2,0.5,2.3,0.1,0.5,0.0,0.1111111111111111,1,pre_2017,0,-2.1999999999999997,-0.5,4.347826086956522,1.0909090909090908,1.0434782608695652,4.166666666666667,4.8,4.6,0.0,3126.4,6266.0,0.07676560900716478,107.16353336923726,-4.6,4.6,52.17391304347826,2.2,0.0,0.4,0.0,2.2,0.0,0.0,0.0,9.09090909090908,24.999999999999993,4.545454545454529,0.0,2.3,0.45,2.25,0.05,-0.24484848484848487,1,3,small,2
XIX,"Armes, munitions et leurs parties et accessoires",2016,4.8,0.5,3.8,0.5,4.3,0.5,0.5,0.0,0.2222222222222222,2,pre_2017,0,-3.8,-0.5,11.627906976744185,1.263157894736842,1.1162790697674418,10.416666666666668,9.6,8.6,0.0,3483.8,7737.0,0.13778058441931224,192.33944010883712,-8.6,8.6,55.81395348837209,2.4,2.2,0.5,0.4,2.3,2.2,0.1,0.0,100.0,0.0,86.95652173913044,400.0,3.1333333333333333,0.4666666666666666,2.9333333333333336,0.19999999999999998,-0.24484848484848487,1,3,small,2
XIX,"Armes, munitions et leurs parties et accessoires",2017,3.5,0.3,3.3,0.3,3.4,0.1,0.3,0.0,0.3333333333333333,3,2017_2019,0,-3.3,-0.3,2.9411764705882355,1.0606060606060606,1.0294117647058825,2.857142857142857,11.666666666666668,11.333333333333334,0.0,3979.1,7398.3,0.0879595888517504,122.7901459647012,-11.333333333333334,6.800000000000001,51.470588235294116,4.8,2.4,0.5,0.5,4.3,2.3,0.5,0.1,-27.083333333333332,-40.0,-20.930232558139533,-80.0,3.5666666666666664,0.43333333333333335,3.3333333333333335,0.2333333333333333,-0.24484848484848487,1,0,small,2
XIX,"Armes, munitions et leurs parties et accessoires",2018,7.1000000000000005,0.4,6.7,0.4,6.9,0.2,0.4,0.0,0.4444444444444444,4,2017_2019,0,-6.7,-0.4,2.898550724637681,1.0597014925373134,1.028985507246377,2.8169014084507045,17.75,17.25,0.0,4259.1,7462.1,0.16670188537484446,232.7131027438937,-17.25,13.8,51.44927536231884,3.5,4.8,0.3,0.5,3.4,4.3,0.1,0.5,102.85714285714288,33.33333333333335,102.94117647058825,100.0,5.133333333333334,0.39999999999999997,4.866666666666667,0.26666666666666666,-0.24484848484848487,1,0,small,2
XIX,"Armes, munitions et leurs parties et accessoires",2019,2.7,0.3,1.7000000000000002,0.3,2.2,0.5,0.3,0.0,0.5555555555555556,5,2017_2019,0,-1.7000000000000002,-0.3,22.727272727272727,1.588235294117647,1.2272727272727273,18.51851851851852,9.000000000000002,7.333333333333334,0.0,4406.3,7113.4,0.06127590041531444,85.54015377216288,-7.333333333333334,4.4,61.36363636363637,7.1000000000000005,3.5,0.4,0.3,6.9,3.4,0.2,0.1,-61.97183098591549,-25.000000000000007,-68.11594202898551,149.99999999999997,4.433333333333334,0.3333333333333333,4.166666666666667,0.26666666666666666,-0.24484848484848487,1,0,small,2
XIX,"Armes, munitions et leurs parties et accessoires",2020,2.1,0.4,1.9,0.4,2.0,0.1,0.4,0.0,0.6666666666666666,6,2020_2021,1,-1.9,-0.4,5.0,1.105263157894737,1.05,4.761904761904762,5.25,5.0,0.0,4923.6,8625.5,0.04265171825493541,59.54110039095082,-5.0,3.9999999999999996,52.500000000000014,2.7,7.1000000000000005,0.3,0.4,2.2,6.9,0.5,0.2,-22.222222222222225,33.33333333333335,-9.090909090909099,-80.0,3.9666666666666672,0.3666666666666667,3.7000000000000006,0.26666666666666666,-0.24484848484848487,1,1,small,2
XIX,"Armes, munitions et leurs parties et accessoires",2021,1.8,0.2,1.8,0.2,1.8,0.0,0.2,0.0,0.7777777777777778,7,2020_2021,1,-1.8,-0.2,0.0,1.0,1.0,0.0,9.0,9.0,0.0,5418.6,9230.5,0.03321891263425977,46.373058178161806,-9.0,3.6,50.0,2.1,2.7,0.4,0.3,2.0,2.2,0.1,0.5,-14.285714285714288,-50.0,-9.999999999999998,-100.0,2.2000000000000006,0.30000000000000004,2.0000000000000004,0.19999999999999998,-0.24484848484848487,1,1,small,2
XIX,"Armes, munitions et leurs parties et accessoires",2022,0.9,0.0,0.7000000000000001,0.0,0.8,0.1,0.0,0.0,0.8888888888888888,8,post_2021,0,-0.7000000000000001,0.0,12.5,1.2857142857142856,1.125,11.111111111111112,0.0,0.0,0.0,6364.8,10285.6,0.014140271493212671,19.739587500328966,0.0,1.6,56.25,1.8,2.1,0.2,0.4,1.8,2.0,0.0,0.1,-50.0,-100.0,-55.55555555555556,0.0,1.6000000000000003,0.20000000000000004,1.5333333333333339,0.06666666666666667,-0.24484848484848487,1,2,small,2
XIX,"Armes, munitions et leurs parties et accessoires",2023,1.5,0.4,1.5,0.4,1.5,0.0,0.4,0.0,1.0,9,post_2021,0,-1.5,-0.4,0.0,1.0,1.0,0.0,3.75,3.75,0.0,6286.9,11284.7,0.023859135663045383,33.30696276439734,-3.75,3.0,50.0,0.9,1.8,0.0,0.2,0.8,1.8,0.1,0.0,66.66666666666666,0.0,87.49999999999999,-100.0,1.4000000000000004,0.20000000000000004,1.3666666666666671,0.03333333333333333,-0.24484848484848487,1,2,small,2
