SH,LIBELLES,year,production_fcfa,production_tonnes,consommation_fcfa,consommation_tonnes
II,Produit du règne végétal,2017,333.5,1485.3000000000002,-76.69999999999999,225.9
III,Graisses et huiles animales ou végétales,2017,30.8,87.4,6.6,52.0
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2017,125.1,345.1,105.3,188.5
IX,"Bois, charbons de bois et ouvrages en bois",2017,4.6,32.2,4.4,30.8
V,Produits minéraux,2017,644.6,3299.3,627.8000000000001,3226.5
VI,Produits des industries chimiques et connexes,2017,267.9,438.8,259.1,421.6
VII,Matières plastiques et ouvrages en ces matières,2017,77.9,81.8,72.1,75.39999999999999
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2017,0.8,3.2,0.8,3.2
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2017,26.9,33.2,26.7,33.2
XI,Matières textiles et ouvrages en ces matières,2017,252.2,384.2,-182.6,-115.0
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2017,5.8,27.4,5.8,25.6
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2017,17.0,102.2,16.4,94.2
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2017,1088.7,1.8,-1088.1,1.6
XIX,"Armes, munitions et leurs parties et accessoires",2017,3.5,0.3,3.3,0.3
XV,Métaux communs et ouvrages en ces métaux,2017,288.5,569.5,84.30000000000001,170.70000000000002
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2017,521.4,163.7,481.8,147.3
XVII,Matériel de transport,2017,220.4,182.3,194.2,172.5
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2017,22.7,3.9,20.3,3.9
XX,Marchandises et produits divers,2017,22.8,35.6,19.8,34.800000000000004
XXI,"Objets d'art, de collection ou d'antiquité",2017,0.3,0.1,-0.3,-0.1
Ensemble,TOTAL,2018,4259.1,7462.1,627.2999999999997,5265.299999999999
I,Animaux vivants et produits du règne animal,2018,25.3,136.70000000000002,22.9,129.1
II,Produit du règne végétal,2018,382.7,1476.3,-98.3,519.3
III,Graisses et huiles animales ou végétales,2018,34.9,126.3,6.899999999999999,76.89999999999999
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2018,124.0,376.7,105.0,224.7
IX,"Bois, charbons de bois et ouvrages en bois",2018,4.1,42.3,3.9,41.7
V,Produits minéraux,2018,752.6,3246.2,721.1999999999999,3135.0
VI,Produits des industries chimiques et connexes,2018,330.6,480.1,305.6,458.3
VII,Matières plastiques et ouvrages en ces matières,2018,96.8,100.2,92.0,93.8
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2018,3.2,4.9,2.8,4.3
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2018,31.0,38.2,30.6,37.4
XI,Matières textiles et ouvrages en ces matières,2018,211.1,316.6,-149.1,-84.2
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2018,6.6,26.1,6.6,25.7
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2018,17.7,116.7,17.3,112.5
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2018,1192.8000000000002,1.4,-1192.0,1.2
XIX,"Armes, munitions et leurs parties et accessoires",2018,7.1000000000000005,0.4,6.7,0.4
XV,Métaux communs et ouvrages en ces métaux,2018,309.9,584.1,79.1,125.5
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2018,448.0,161.0,406.8,143.8
XVII,Matériel de transport,2018,225.3,186.0,208.7,178.8
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2018,28.4,3.3,27.2,3.3
XX,Marchandises et produits divers,2018,26.6,38.8,24.2,38.0
XXI,"Objets d'art, de collection ou d'antiquité",2018,0.4,0.2,-0.4,0.0
Ensemble,TOTAL,2019,4406.3,7113.4,584.8999999999999,4650.6
I,Animaux vivants et produits du règne animal,2019,26.700000000000003,152.3,25.5,148.7
II,Produit du règne végétal,2019,286.79999999999995,1313.4,-33.599999999999994,477.6
III,Graisses et huiles animales ou végétales,2019,35.5,63.3,-5.899999999999999,16.7
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2019,114.8,258.5,96.8,160.5
IX,"Bois, charbons de bois et ouvrages en bois",2019,4.0,35.2,4.0,35.2
V,Produits minéraux,2019,782.8000000000001,3172.3,749.4,2719.5
VI,Produits des industries chimiques et connexes,2019,286.0,397.7,270.0,366.1
VII,Matières plastiques et ouvrages en ces matières,2019,92.4,101.5,87.2,96.3
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2019,1.8,7.3,1.6,7.3
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2019,29.4,41.2,29.2,41.0
XI,Matières textiles et ouvrages en ces matières,2019,260.9,354.2,-157.3,-88.19999999999999
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2019,5.9,28.1,5.9,27.5
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2019,22.6,156.0,22.4,153.39999999999998
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2019,1331.1,1.1,-1330.7,0.9
XIX,"Armes, munitions et leurs parties et accessoires",2019,2.7,0.3,1.7000000000000002,0.3
XV,Métaux communs et ouvrages en ces métaux,2019,303.9,649.0999999999999,101.70000000000002,126.7
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2019,486.6,177.5,441.8,166.5
XVII,Matériel de transport,2019,284.3,171.5,232.3,163.7
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2019,26.6,3.5,24.6,3.3
XX,Marchandises et produits divers,2019,21.4,28.8,18.6,27.4
XXI,"Objets d'art, de collection ou d'antiquité",2019,0.3,0.4,-0.3,0.1999999999999999
Ensemble,TOTAL,2020,4923.6,8625.5,-112.40000000000008,5553.5
I,Animaux vivants et produits du règne animal,2020,28.5,176.3,27.3,173.7
II,Produit du règne végétal,2020,262.1,1369.3,-18.50000000000001,375.3
III,Graisses et huiles animales ou végétales,2020,35.5,63.1,-5.899999999999999,11.499999999999996
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2020,130.4,343.2,109.8,201.2
IX,"Bois, charbons de bois et ouvrages en bois",2020,5.3,43.7,5.1000000000000005,41.3
V,Produits minéraux,2020,839.5,4492.7,667.9000000000001,3188.7
VI,Produits des industries chimiques et connexes,2020,319.7,519.1,302.7,486.3
VII,Matières plastiques et ouvrages en ces matières,2020,90.2,120.1,88.39999999999999,115.9
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2020,2.6,10.2,2.6,10.2
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2020,30.6,46.7,30.2,46.5
XI,Matières textiles et ouvrages en ces matières,2020,204.0,308.1,-103.8,-31.5
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2020,5.3,26.7,5.3,26.1
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2020,25.7,155.89999999999998,25.7,151.5
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2020,2054.9,1.8,-2054.3,1.6
XIX,"Armes, munitions et leurs parties et accessoires",2020,2.1,0.4,1.9,0.4
XV,Métaux communs et ouvrages en ces métaux,2020,195.5,498.4,172.3,426.4
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2020,426.7,226.4,386.9,111.8
XVII,Matériel de transport,2020,200.2,184.8,183.4,179.4
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2020,41.1,5.2,39.9,5.2
XX,Marchandises et produits divers,2020,23.1,33.0,20.9,32.0
XXI,"Objets d'art, de collection ou d'antiquité",2020,0.2,0.2,-0.2,0.0
Ensemble,TOTAL,2021,5418.6,9230.5,-193.5999999999999,5835.1
I,Animaux vivants et produits du règne animal,2021,30.5,193.6,28.5,190.4
II,Produit du règne végétal,2021,269.6,1118.0,-33.79999999999998,324.40000000000003
III,Graisses et huiles animales ou végétales,2021,30.3,56.8,-5.900000000000002,7.799999999999997
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2021,169.6,384.8,131.4,239.2
IX,"Bois, charbons de bois et ouvrages en bois",2021,5.5,43.4,5.300000000000001,42.4
V,Produits minéraux,2021,997.6,5281.6,761.0,3551.4
VI,Produits des industries chimiques et connexes,2021,312.5,461.9,297.1,425.5
VII,Matières plastiques et ouvrages en ces matières,2021,107.1,124.5,102.5,119.5
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2021,3.9,14.9,3.7,14.7
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2021,40.3,53.4,39.7,52.8
XI,Matières textiles et ouvrages en ces matières,2021,302.9,398.1,-207.5,-125.10000000000002
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2021,7.3,31.4,7.1000000000000005,30.4
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2021,29.0,167.5,29.0,163.3
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2021,2176.6,2.1,-2175.4,1.9
XIX,"Armes, munitions et leurs parties et accessoires",2021,1.8,0.2,1.8,0.2
XV,Métaux communs et ouvrages en ces métaux,2021,224.5,464.4,197.1,393.0
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2021,420.7,167.70000000000002,373.1,147.9
XVII,Matériel de transport,2021,225.6,225.2,192.4,215.2
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2021,31.7,3.2,30.1,3.2
XX,Marchandises et produits divers,2021,31.6,37.8,29.4,36.8
XXI,"Objets d'art, de collection ou d'antiquité",2021,0.2,0.2,-0.2,0.0
Ensemble,TOTAL,2022,6364.8,10285.6,681.0,5891.0
I,Animaux vivants et produits du règne animal,2022,36.9,198.6,34.9,192.8
II,Produit du règne végétal,2022,393.2,1584.0,-0.8000000000000114,777.1999999999999
III,Graisses et huiles animales ou végétales,2022,35.9,84.3,-3.1000000000000014,31.9
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2022,172.5,482.7,128.7,311.1
IX,"Bois, charbons de bois et ouvrages en bois",2022,8.1,63.900000000000006,7.7,63.5
V,Produits minéraux,2022,1539.4,5548.400000000001,1325.2,2967.8
VI,Produits des industries chimiques et connexes,2022,442.6,549.6999999999999,420.0,497.9
VII,Matières plastiques et ouvrages en ces matières,2022,120.7,144.70000000000002,115.1,127.9
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2022,6.0,21.6,5.0,21.2
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2022,51.2,51.1,47.6,49.3
XI,Matières textiles et ouvrages en ces matières,2022,357.9,383.4,-241.1,-161.39999999999998
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2022,7.399999999999999,28.2,7.2,27.8
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2022,36.1,186.6,35.7,185.6
