year,LIBELLES,imports_fcfa,exports_fcfa,imports_tonnes,exports_tonnes
2023,Produits minéraux,1568.2,81.3,5026.8,1180.8
2014,Produits des industries chimiques et connexes,228.2,4.3,344.2,5.4
2015,Produits des industries chimiques et connexes,247.5,9.0,360.8,5.0
2016,Produits des industries chimiques et connexes,302.5,14.0,454.3,6.9
2017,Produits des industries chimiques et connexes,263.5,4.4,430.2,8.6
2018,Produits des industries chimiques et connexes,318.1,12.5,469.2,10.9
2019,Produits des industries chimiques et connexes,278.0,8.0,381.9,15.8
2020,Produits des industries chimiques et connexes,311.2,8.5,502.7,16.4
2021,Produits des industries chimiques et connexes,304.8,7.7,443.7,18.2
2022,Produits des industries chimiques et connexes,431.3,11.3,523.8,25.9
2023,Produits des industries chimiques et connexes,411.5,10.5,594.9,13.1
2014,Matières plastiques et ouvrages en ces matières,62.9,2.8,63.9,1.6
2015,Matières plastiques et ouvrages en ces matières,59.5,1.7,64.5,2.7
2016,Matières plastiques et ouvrages en ces matières,73.6,4.9,74.1,3.8
2017,Matières plastiques et ouvrages en ces matières,75.0,2.9,78.6,3.2
2018,Matières plastiques et ouvrages en ces matières,94.4,2.4,97.0,3.2
2019,Matières plastiques et ouvrages en ces matières,89.8,2.6,98.9,2.6
2020,Matières plastiques et ouvrages en ces matières,89.3,0.9,118.0,2.1
2021,Matières plastiques et ouvrages en ces matières,104.8,2.3,122.0,2.5
2022,Matières plastiques et ouvrages en ces matières,117.9,2.8,136.3,8.4
2023,Matières plastiques et ouvrages en ces matières,98.7,1.2,140.9,2.8
2014,"Peaux, cuirs, pelleteries et ouvrages en ces matières",1.2,1.2,2.3,0.7
2015,"Peaux, cuirs, pelleteries et ouvrages en ces matières",0.9,0.3,3.1,0.4
2016,"Peaux, cuirs, pelleteries et ouvrages en ces matières",1.2,1.3,3.2,0.3
2017,"Peaux, cuirs, pelleteries et ouvrages en ces matières",0.8,0.0,3.2,0.0
2018,"Peaux, cuirs, pelleteries et ouvrages en ces matières",3.0,0.2,4.6,0.3
2019,"Peaux, cuirs, pelleteries et ouvrages en ces matières",1.7,0.1,7.3,0.0
2020,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2.6,0.0,10.2,0.0
2021,"Peaux, cuirs, pelleteries et ouvrages en ces matières",3.8,0.1,14.8,0.1
2022,"Peaux, cuirs, pelleteries et ouvrages en ces matières",5.5,0.5,21.4,0.2
2023,"Peaux, cuirs, pelleteries et ouvrages en ces matières",5.1,1.1,17.8,0.5
2014,Pâtes de bois ou d'autres matières fibreuses cellulosiques,23.8,0.2,30.7,0.1
2015,Pâtes de bois ou d'autres matières fibreuses cellulosiques,23.9,0.8,28.4,0.1
2016,Pâtes de bois ou d'autres matières fibreuses cellulosiques,27.4,0.2,33.2,0.2
2017,Pâtes de bois ou d'autres matières fibreuses cellulosiques,26.8,0.1,33.2,0.0
2018,Pâtes de bois ou d'autres matières fibreuses cellulosiques,30.8,0.2,37.8,0.4
2019,Pâtes de bois ou d'autres matières fibreuses cellulosiques,29.3,0.1,41.1,0.1
2020,Pâtes de bois ou d'autres matières fibreuses cellulosiques,30.4,0.2,46.6,0.1
2021,Pâtes de bois ou d'autres matières fibreuses cellulosiques,40.0,0.3,53.1,0.3
2022,Pâtes de bois ou d'autres matières fibreuses cellulosiques,49.4,1.8,50.2,0.9
