SH,secteur,production_mds_fcfa,imports_mds_fcfa,exports_mds_fcfa,ratio_production_imports,taux_couverture,intensite_export,croissance_production_pct,taux_autosuffisance,score_substitution,classification,priorite,recommandation
XIII,"Ouvrages en pierres, plâtre, ciment, amiante, mica, etc.",24.8,20.5,4.3,1.2097560975609756,20.97560975609756,17.338709677419352,-32.97297297297297,60.48780487804878,50,Potentiel modéré - Équilibré,Moyenne,"Analyser les opportunites dans Ouvrages en pierres, plâtre, ciment, amiante, mica, etc.. Potentiel modere necessite etude approfondie."
V,Produits minéraux,2325.8,8985.4,2658.5,0.2588421216640328,29.586885391857905,114.3047553529968,41.00030312215824,26.87947114773424,50,Potentiel modéré - Équilibré,Moyenne,Analyser les opportunites dans Produits minéraux. Potentiel modere necessite etude approfondie.
VI,Produits des industries chimiques et connexes,452.8,445.2,7.6,1.0170709793351302,1.707097933513028,1.6784452296819783,7.298578199052136,50.85354896675651,50,Potentiel modéré - Équilibré,Moyenne,Analyser les opportunites dans Produits des industries chimiques et connexes. Potentiel modere necessite etude approfondie.
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",525.8,478.5,47.3,1.0988505747126436,9.885057471264368,8.99581589958159,0.0,54.94252873563218,45,Potentiel modéré - Équilibré,Moyenne,"Analyser les opportunites dans Machines et appareils, matériel électrique et leurs parties, etc.. Potentiel modere necessite etude approfondie."
XX,Marchandises et produits divers,35.2,32.8,2.4,1.0731707317073174,7.3170731707317085,6.8181818181818175,0.0,53.658536585365866,45,Potentiel modéré - Équilibré,Moyenne,Analyser les opportunites dans Marchandises et produits divers. Potentiel modere necessite etude approfondie.
IX,"Bois, charbons de bois et ouvrages en bois",13.5,12.8,0.7,1.0546875,5.468749999999999,5.185185185185185,0.0,52.734375,45,Potentiel modéré - Équilibré,Moyenne,"Analyser les opportunites dans Bois, charbons de bois et ouvrages en bois. Potentiel modere necessite etude approfondie."
I,Animaux vivants et produits du règne animal,55.8,51.5,4.3,1.083495145631068,8.349514563106796,7.706093189964158,0.0,54.1747572815534,45,Potentiel modéré - Équilibré,Moyenne,Analyser les opportunites dans Animaux vivants et produits du règne animal. Potentiel modere necessite etude approfondie.
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",45.8,41.5,4.3,1.1036144578313252,10.36144578313253,9.388646288209607,0.0,55.18072289156626,45,Potentiel modéré - Équilibré,Moyenne,"Analyser les opportunites dans Peaux, cuirs, pelleteries et ouvrages en ces matières. Potentiel modere necessite etude approfondie."
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,35.8,31.2,4.6,1.1474358974358974,14.743589743589745,12.849162011173185,-2.4523160762942933,57.37179487179487,45,Potentiel modéré - Équilibré,Moyenne,Analyser les opportunites dans Pâtes de bois ou d'autres matières fibreuses cellulosiques. Potentiel modere necessite etude approfondie.
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,35.8,31.2,4.6,1.1474358974358974,14.743589743589745,12.849162011173185,0.0,57.37179487179487,45,Potentiel modéré - Équilibré,Moyenne,Analyser les opportunites dans Pâtes de bois ou d'autres matières fibreuses cellulosiques. Potentiel modere necessite etude approfondie.
XIX,"Armes, munitions et leurs parties et accessoires",2.1,1.9,0.2,1.105263157894737,10.526315789473685,9.523809523809524,0.0,55.26315789473685,45,Potentiel modéré - Équilibré,Moyenne,"Analyser les opportunites dans Armes, munitions et leurs parties et accessoires. Potentiel modere necessite etude approfondie."
IV,"Produits des industries alimentaires : boissons, alcool, etc.",158.5,155.2,3.3,1.0212628865979383,2.1262886597938144,2.082018927444795,-13.435281267067174,51.06314432989692,40,Faible potentiel - Dépendant imports,Basse,"Prudence pour Produits des industries alimentaires : boissons, alcool, etc.. Secteur fortement dependant des importations."
